title,itemtype,deweyClass,Counts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Ukrainian IB the complete course",accd,491.79824,26,0,0,0,0,4,4,3,7,2,0,3,1,2
"Good grief good grammar",acbk,428.20246,26,2,2,8,6,4,2,1,1,0,0,0,0,0
"Robert Collins dictionnaire franÃ¢Â€Â¡ais anglais anglais franÃ¢Â€Â¡ais senior par Beryl T Atkins et al",acbk,443.21,26,1,3,2,5,6,5,1,1,2,0,0,0,0
"Hello America Unit 4 Intermediate a video English course",bcvhs,428.34,26,16,7,3,0,0,0,0,0,0,0,0,0,0
"NTCs compact Portuguese and English dictionary",acbk,469.321,25,4,3,3,2,6,2,0,3,2,0,0,0,0
"Living Japanese a modern reader",acbk,495.68642,25,6,3,5,1,3,2,3,1,1,0,0,0,0
"Divided by a common language a British American dictionary plus",acbk,423.1,25,12,5,3,1,1,2,1,0,0,0,0,0,0
"Easy Katakana how to read and write English words used in Japanese",acbk,495.62421,25,19,6,0,0,0,0,0,0,0,0,0,0,0
"Saint Exupery reader",acbk,448.6,25,0,0,0,1,0,4,0,3,2,2,4,3,6
"Japanese hiragana katakana for beginners first steps to mastering the Japanese writing system the method thats helped thousands in the U S and Japan learn Japanese successfully",acbk,495.68242,25,0,0,0,0,0,0,0,0,0,0,0,0,22
"Zukai anata mo imamade no 10 bai hayaku hon ga yomeru",acbk,495.68432,25,1,2,2,5,4,2,1,2,0,3,0,3,0
"Chinese word for horse and other stories",jcbk,495.181,25,4,5,2,4,5,4,1,0,0,0,0,0,0
"Anh van dÃ¢Â€Â¦m tho ai cap toc quyen sÃ‚Â ch Anh van cho nguoi moi hoc English Vietnamese everyday dialogues",acbk,428.3495,25,6,11,4,4,0,0,0,0,0,0,0,0,0
"Travel wise Arabic",acbk,492.78342,25,3,3,10,5,3,1,0,0,0,0,0,0,0
"15 minute Italian learn in just 12 weeks",acbk,458.2421,25,0,0,0,0,0,0,0,0,0,0,0,0,25
"Latin in the service of English",acbk,422.471,25,1,5,2,1,1,2,2,3,2,4,2,0,0
"NTCs pocket dictionary of words and phrases",acbk,423.1,25,1,3,3,4,5,7,0,2,0,0,0,0,0
"kings English a guide to modern usage",acbk,423.1,25,6,6,3,0,1,4,1,2,2,0,0,0,0
"Lost for words the hidden history of the Oxford English dictionary",acbk,423,25,8,1,2,2,2,1,2,2,1,2,0,0,2
Portuguese,accas,469,25,14,6,5,0,0,0,0,0,0,0,0,0,0
stalker,bcbk,428.62,25,0,0,0,0,0,0,4,6,3,5,4,2,1
"American English I",blvhs,428,25,6,8,8,3,0,0,0,0,0,0,0,0,0
"Look whos talking strategies for developing group interaction",bcbk,428.34,25,9,4,4,3,3,0,2,0,0,0,0,0,0
"Beginning Japanese your pathway to dynamic language acquisition",acbk,495.68242,25,0,0,0,0,0,0,0,0,0,0,0,0,21
"Bullshit a lexicon",acbk,427,25,0,0,0,0,0,0,0,0,0,8,12,5,0
"Grammaire 350 exercices niveau dÃ¢Â€Âšbutant",acbk,445,25,3,7,4,2,2,2,0,0,3,1,1,0,0
"Louis Riel",bcbk,428.62,25,0,0,0,6,7,4,1,1,1,2,1,1,1
"guide to grammar a student handbook for strong writing",acbk,428.20712,25,0,0,0,0,0,0,0,0,0,6,8,5,6
"Keywords a vocabulary of culture and society",acbk,422,25,0,0,0,0,0,3,3,2,5,5,0,6,1
"Portable German tutor",acbk,438,25,3,4,1,4,5,1,1,4,2,0,0,0,0
"Listen say it right in English",bccas,428,25,5,6,7,7,0,0,0,0,0,0,0,0,0
"Grammar smart",acbk,428.2,25,0,0,0,0,0,0,0,0,0,0,0,7,18
"new Oxford picture dictionary",acbk,423.951,25,20,5,0,0,0,0,0,0,0,0,0,0,0
"Japanese for busy people",acvhs,495.68,25,9,4,6,3,3,0,0,0,0,0,0,0,0
"100 words every high school graduate should know",acbk,428.1,25,0,0,0,0,0,0,0,0,0,0,2,16,7
"Words on fire the unfinished story of Yiddish",acbk,439.109,25,2,5,3,0,1,2,3,4,2,1,1,1,0
"Talk dirty Yiddish beyond drek the curses slang and street lingo you need to know when you speak Yiddish",acbk,439.17,25,0,0,0,0,3,1,5,4,6,2,1,2,1
"English Chinese pinyin pocket dictionary Ying Han pin yin xiu zhen ci dian",acbk,495.1321,25,14,7,2,0,0,0,0,0,0,0,1,1,0
"Mira donde vivo un libro bilingÃƒÂ¼e busca y encuentra Look where I live a bilingual look and find book",jcbk,468.2421,25,0,0,0,0,0,0,0,0,0,0,0,10,15
"CÃ‚Â ch dÃ¢Â€Â”ng gioi tu Anh ngu The use of prepositions in English",bcbk,428.2495,25,14,5,3,0,1,2,0,0,0,0,0,0,0
"In the news",bccas,428,25,10,4,6,5,0,0,0,0,0,0,0,0,0
"Focus on grammar an introductory course for reference and practice",bcbk,428.24,25,6,3,11,2,1,2,0,0,0,0,0,0,0
Nouns,jcvhs,428.2,25,11,8,6,0,0,0,0,0,0,0,0,0,0
"Norn language of Orkney and Shetland",acbk,439.62,25,2,0,3,1,1,0,2,3,2,1,4,4,2
"Beginners French",acbk,448.2421,25,9,8,8,0,0,0,0,0,0,0,0,0,0
"Han zi yan bian wu bai li Hanzi yanbian 500 li",acbk,495.111,25,3,0,3,0,2,3,1,2,4,2,2,2,1
"Voyager 8 reading and writing for todays adults",bcbk,428.2,25,0,0,0,3,6,6,1,3,3,0,0,3,0
"Spelling made simple",acbk,428.1,24,4,2,6,4,4,4,0,0,0,0,0,0,0
"English for Vietnamese",bccas,428.34959,24,8,8,4,4,0,0,0,0,0,0,0,0,0
"Fanboys and overdogs the language report",acbk,423.1,24,17,0,0,1,1,0,0,2,0,1,1,1,0
"Teaching English as a foreign language",acbk,428.2407,24,3,3,2,4,2,3,2,5,0,0,0,0,0
"Breakthrough French",accas,448,24,5,7,10,2,0,0,0,0,0,0,0,0,0
"Dutch for dummies",acbk,439.31824,24,0,0,0,0,0,0,0,0,2,10,0,4,8
"PortuguÃ‹Â†s bÃ‚Â sico para estrangeiros um mÃ¢Â€Âštodo fÃ‚Â cil e rÃ‚Â pido para se aprender portuguÃ‹Â†s",acbk,469.824,24,4,4,2,3,3,3,4,1,0,0,0,0,0
,acbk,428.24,24,12,7,2,1,2,0,0,0,0,0,0,0,0
"NTCs new Japanese English character dictionary",acbk,495.6321,24,6,3,4,2,3,3,0,1,1,1,0,0,0
"history of the English language",acbk,420.9,24,8,4,2,0,1,1,2,3,0,2,1,0,0
"Longman photo dictionary",bcbk,423.1,24,9,5,2,1,1,0,2,1,3,0,0,0,0
"New bilingual visual dictionary English Korean",jcbk,495.7321,24,0,0,0,0,0,0,0,0,0,0,0,3,19
"Cassells Italian dictionary Italian English English Italian",acbk,453.21,24,8,2,7,2,3,1,1,0,0,0,0,0,0
"Pimsleur language programs Hatian Creole",accas,447.97294,24,6,5,3,7,3,0,0,0,0,0,0,0,0
"Spanish by association",acbk,468.2421,24,20,4,0,0,0,0,0,0,0,0,0,0,0
"Uroki angliiskogo schÃ¢Â€Â°t vremia account time",acbk,428.24917,24,3,4,1,4,3,2,2,3,1,1,0,0,0
"Beginners Dutch an easy introduction",acbk,439.31824,24,7,2,6,4,5,0,0,0,0,0,0,0,0
"Habla EspaÃƒÂ±ol learning Spanish the basics and beyond the basics",acdvd,468.2421,24,0,0,0,0,0,0,0,0,0,0,0,12,12
"Lyric language espaÃ‚Â¤ol inglÃ¢Â€Âšs Spanish English",jcvhs,468,24,18,5,1,0,0,0,0,0,0,0,0,0,0
"Star concise pictorial dictionary over 700 words in pictures English Somali",jcbk,423.9354,24,4,2,6,4,5,3,0,0,0,0,0,0,0
"Oxford starter Japanese dictionary",acbk,495.6321,24,5,6,7,1,2,1,1,1,0,0,0,0,0
"Word town basic English Spanish vocabulary Las palabras del pueblo el vocabulario bÃ‚Â sico de inglÃ¢Â€Âšs espaÃ‚Â¤ol",bcvhs,468.1,24,17,2,1,4,0,0,0,0,0,0,0,0,0
"Websters new explorer dictionary and thesaurus",acbk,423,24,5,4,6,2,3,2,2,0,0,0,0,0,0
"reference grammar of modern French",acbk,448.2421,24,3,2,2,5,4,5,3,0,0,0,0,0,0
"Descriptive words phrases",jcvhs,428.2,24,12,7,5,0,0,0,0,0,0,0,0,0,0
"Cassells Spanish English English Spanish dictionary Diccionario espaÃ‚Â¤ol inglÃ¢Â€Âšs inglÃ¢Â€Âšs espaÃ‚Â¤ol",acbk,463.21,24,4,7,5,1,2,3,2,0,0,0,0,0,0
"Situational Japanese 2",acbk,495.68642,24,3,3,7,3,3,2,0,3,0,0,0,0,0
"Improve your reading",acbk,428.4071,24,1,0,3,3,4,4,4,5,0,0,0,0,0
"Cambridge grammar of the English language",acbk,425,24,0,0,0,0,0,0,9,11,4,0,0,0,0
"Bringing literacy to life issues and options in adult ESL literacy",bcbk,428.6,24,6,3,2,4,3,3,2,1,0,0,0,0,0
"What a life Intermediate stories of amazing people",bcbk,428.24,24,0,0,0,0,0,0,0,0,0,0,10,11,3
"Spanish now El espaÃƒÂ±ol actual Level 1 Primer programa",acbk,468.2421,24,0,0,0,0,0,0,0,0,0,0,0,0,24
"Ying yu quan tao zong he jiao cheng English for Cantonese Chinese speakers 1 B",bccd,428.34951,24,0,0,0,0,0,0,0,0,3,9,9,3,0
"Arabic writing for beginners",jcbk,492.711,24,9,4,3,5,3,0,0,0,0,0,0,0,0
"Learning to speak English Amharic 2",bccas,428.24923,24,12,3,7,1,1,0,0,0,0,0,0,0,0
"Eigo de shokaisuru Nippon",acbk,428.34,23,5,4,4,1,0,0,0,1,2,2,3,0,1
"Dictionary of confusable words",acbk,423.1,23,8,2,1,4,1,0,1,5,1,0,0,0,0
"501 German verbs fully conjugated in all the tenses alphabetically arranged",acbk,438.2421,23,3,1,6,2,2,1,3,5,0,0,0,0,0
"Bijinesu Nihongo Business Japanese",acbk,495.68242,23,6,3,3,2,2,4,1,2,0,0,0,0,0
"Ting ting Meiguo ren zen mo shuo Listen to American people talking",acbk,427.973,23,5,1,5,3,6,1,2,0,0,0,0,0,0
"English interactive for beginners Japanese",bcdvd,428,23,0,6,4,4,2,0,2,2,1,0,1,1,0
"Cours supÃ¢Â€Âšrieur a course in French language and literature for more advanced students",acbk,448.642,23,2,1,0,5,2,3,4,2,2,1,1,0,0
"Vocabulary builder Spanish mastering the most common Spanish words and phrases",acbk,468.2421,23,20,3,0,0,0,0,0,0,0,0,0,0,0
"More true stories a high beginning reader",acbk,428.64,23,15,7,0,0,0,0,0,0,0,0,0,0,1
"Hello America Unit 8 High intermediate a video English course",bckit,428.34,23,11,6,5,0,1,0,0,0,0,0,0,0,0
"Its been said before a guide to the use and abuse of clichÃ¢Â€Âšs",acbk,428.1,23,0,0,0,0,0,0,0,0,0,19,3,1,0
Romanian,accas,459.83421,23,8,5,6,2,2,0,0,0,0,0,0,0,0
"Celebrate the American way a fun ESL guide to English language and culture in the U S",bcbk,428.24,23,0,0,0,0,0,0,0,0,0,0,0,7,16
"Fifty patterns of modern Chinese",acbk,495.18242,23,1,2,1,1,2,1,1,2,3,2,4,1,2
"Basic English for foreigners Module A vocabulary and sructure",bccas,428.34959,23,4,7,7,4,1,0,0,0,0,0,0,0,0
"Learning to speak English Korean Program 1",bccd,428.34957,23,0,5,5,3,2,2,1,1,0,2,0,0,2
"Spanish phrasebook",acbk,468.3421,23,17,6,0,0,0,0,0,0,0,0,0,0,0
"Signposts French",acbk,448.3421,23,6,6,9,2,0,0,0,0,0,0,0,0,0
"Voyager 6 reading and writing for todays adults",bcbk,428.2,23,0,0,0,1,4,5,3,3,2,1,0,3,1
"NTCs Romanian and English dictionary",acbk,459.321,23,5,5,2,4,0,4,1,2,0,0,0,0,0
"English picture dictionary",jcbk,423.1,23,9,8,4,2,0,0,0,0,0,0,0,0,0
"New bilingual visual dictionary English Russian",jcbk,491.7321,23,0,0,0,0,0,0,0,0,0,0,0,3,17
"First childrens dictionary",jcbk,423,23,0,0,0,0,0,0,0,0,0,0,1,16,6
"DiksyonÃ…Â  anglÃ…Â  kreyÃ¢Â€Â¢l English KreyÃ¢Â€Â¢l dictionary",acbk,447.97294,23,5,2,4,4,4,2,1,1,0,0,0,0,0
"English as a foreign language",acbk,427.941,23,3,3,4,7,1,1,3,1,0,0,0,0,0
"Tales from many cultures",bcbk,428.64,23,6,4,5,2,2,4,0,0,0,0,0,0,0
"childrens visual dictionary",jcbk,423.1,23,5,7,1,4,1,4,1,0,0,0,0,0,0
"Spoken soul the the story of Black English",acbk,427.08996,23,1,4,0,1,3,3,0,4,2,3,0,0,2
"German bilingual dictionary a beginners guide in words and pictures",jcbk,433.21,23,7,4,7,2,3,0,0,0,0,0,0,0,0
"Learning to speak English Cambodian Program 1",bccd,428.34959,23,0,7,6,7,1,0,0,2,0,0,0,0,0
"Kan tu xue zui you yong de Hanyu Picture Chinese",acbk,495.1,23,0,0,0,0,0,0,0,14,7,2,0,0,0
"English grammar for students of French",acbk,428.2,23,4,1,3,6,4,2,1,2,0,0,0,0,0
"Learning to speak English Korean Program 2",bccd,428.34957,23,0,4,10,2,2,0,0,0,3,2,0,0,0
"Mastering Spanish",accas,468,23,14,6,3,0,0,0,0,0,0,0,0,0,0
"roots of English a readers handbook of word origins",acbk,422.03,23,1,4,5,1,2,2,5,1,1,1,0,0,0
"Cultural awareness",bcbk,420.7,23,9,0,2,3,4,2,2,1,0,0,0,0,0
"Essentials of French grammar",acbk,448.2421,23,13,4,6,0,0,0,0,0,0,0,0,0,0
"One day in the life of the English language a microcosmic usage handbook",acbk,428.2,23,0,0,0,0,0,0,0,0,0,16,4,2,1
"Italian 5",accd,458.3421,23,0,0,0,0,0,0,0,0,0,0,0,10,13
"Greek roots and their modern English spellings a dictionary of roots transliterated from ancient Greek with their modern English spellings",acbk,422.481,23,3,3,2,2,3,2,2,3,3,0,0,0,0
"English for everyone English vocabulary builder",bcbk,428.24,23,0,0,0,0,0,0,0,0,0,0,0,0,23
"School rules Writing ideas how tos and tips to make you a whiz with word",jcbk,428.40712,23,0,0,0,0,0,0,0,0,0,0,0,15,8
"Expressions stories and poems",bcbk,428.62,23,0,1,6,5,4,3,4,0,0,0,0,0,0
"201 Korean verbs fully conjugated in all aspects moods tenses and formality levels",acbk,495.78242,23,4,3,4,2,1,2,5,2,0,0,0,0,0
"communicative grammar of English",acbk,428.24,23,4,1,3,2,3,7,2,1,0,0,0,0,0
"Phrase by phrase pronunciation videotapes vol 1",bcvhs,428.1,23,12,4,4,3,0,0,0,0,0,0,0,0,0
"Learning to speak English Tagalog Program 2",bccd,428.34992,23,0,0,5,5,1,7,2,2,1,0,0,0,0
"Word power an illustrated dictionary of vital words",acbk,428.1,23,4,3,2,5,3,1,2,3,0,0,0,0,0
"Syupo saellodu Soup or salad",acbk,428.34,23,0,0,4,5,2,5,5,1,0,0,0,1,0
"Side by side Activity workbook 4",bccas,428.34,23,11,8,4,0,0,0,0,0,0,0,0,0,0
"Teach yourself Swedish",accas,439,23,9,3,5,5,1,0,0,0,0,0,0,0,0
"English for beginners Russian",bcvhs,491.78,23,14,5,3,0,0,0,1,0,0,0,0,0,0
"Doing grammar",acbk,428.2,23,2,4,5,2,5,3,1,1,0,0,0,0,0
"Learning to speak English Russian Program one",bccd,428.34917,23,0,0,0,0,0,0,0,0,9,8,2,1,3
"Macmillan visual dictionary",jcbk,423.1,23,5,6,2,3,2,3,1,1,0,0,0,0,0
"Real life stories for advanced beginners",bcbk,428.64,23,1,2,3,2,4,5,3,2,1,0,0,0,0
"Collins English Portuguese PortuguÃ‹Â†s InglÃ‹Â†s dictionary",acbk,469.321,23,3,4,2,5,2,3,0,2,1,0,1,0,0
"Standard British for actors",accas,421.55,23,6,3,9,5,0,0,0,0,0,0,0,0,0
"In print beginning literacy through cultural awareness",bcbk,428.24,22,6,4,2,1,2,3,1,2,1,0,0,0,0
"In English Unit 4 lessons 3 and 4",bccdrom,428.34,22,12,8,2,0,0,0,0,0,0,0,0,0,0
"Going to hell in a hen basket an illustrated dictionary of modern malapropisms",acbk,423.1,22,0,0,0,0,0,0,0,0,0,7,12,2,1
"art de la conversation",acbk,448,22,3,3,2,2,3,3,1,2,3,0,0,0,0
"Dangerous English 2000 an indispensible guide for language learners and others",bcbk,427,22,0,0,0,0,0,7,6,4,2,1,1,1,0
"Streetwise German speaking and understanding colloquial German",acbk,438.3421,22,11,3,8,0,0,0,0,0,0,0,0,0,0
"Multimedia middle school grammar",accdrom,428.2,22,7,4,7,4,0,0,0,0,0,0,0,0,0
"English Norwegian Norwegian English dictionary",acbk,439.82321,22,3,4,7,4,2,1,1,0,0,0,0,0,0
"Beginning Chinese",acbk,495.18342,22,4,5,4,4,1,1,1,2,0,0,0,0,0
"Spanish grammar drills",acbk,468.2421,22,0,0,0,0,0,0,0,0,0,0,0,0,22
"careful writer a modern guide to English usage",acbk,428.3,22,0,3,6,8,0,3,0,1,1,0,0,0,0
"Teach yourself Swedish a grammar of the modern language",acbk,439.7,22,5,4,4,6,3,0,0,0,0,0,0,0,0
"Spoken American English Shi yong Mei shi Ying you hui hua",bccas,428.34951,22,9,11,2,0,0,0,0,0,0,0,0,0,0
"Lets learn Portuguese picture dictionary",jcbk,469.321,22,9,4,4,5,0,0,0,0,0,0,0,0,0
"Is it shiny",jcbk,428.1,22,4,4,2,2,0,7,2,0,1,0,0,0,0
"Communicate a video course in English",blvhs,428.34,22,9,6,7,0,0,0,0,0,0,0,0,0,0
"Just listen n learn German plus",accas,438,22,13,4,2,3,0,0,0,0,0,0,0,0,0
"English for newcomers Book one",bccas,428.34951,22,7,7,4,3,1,0,0,0,0,0,0,0,0
"LittÃ¢Â€Âšrature francophone anthologie",acbk,448.6,22,3,4,3,1,6,0,0,0,2,0,2,1,0
"brief history of the Spanish language",acbk,460.9,22,0,0,0,6,5,3,6,2,0,0,0,0,0
"Verbivores feast second course more word phrase origins",acbk,422,22,0,7,3,2,4,3,0,2,0,0,0,1,0
"Accent correction reduction for English speakers whose first language is Russian",bcdvd,428.34917,22,0,0,0,0,0,0,0,4,1,6,5,4,2
"writing book English in everyday life a teachers resource book",bcbk,428.24,22,4,1,2,7,3,5,0,0,0,0,0,0,0
"pocket Oxford Italian dictionary",acbk,453.21,22,5,5,5,3,1,3,0,0,0,0,0,0,0
"Please write a beginning composition text for students of ESL",bcbk,428.24,22,9,4,4,4,1,0,0,0,0,0,0,0,0
"Hello America Unit 3 Beginner a video English course",bcvhs,428.34,22,11,3,4,3,1,0,0,0,0,0,0,0,0
"history of the English language a source book",acbk,420.9,22,2,2,2,3,1,2,1,3,3,2,0,1,0
"NTCs compact English dictionary the core vocabulary for learners",acbk,423,22,5,6,3,4,2,2,0,0,0,0,0,0,0
"Bridge across Asia favorite Asian stories",bcbk,428.6495,22,1,3,5,6,4,3,0,0,0,0,0,0,0
"Samuel Johnsons dictionary selections from the 1755 work that defined the English language",acbk,423,22,2,3,2,5,1,2,1,1,1,1,0,2,1
"English Cantonese",bccas,428,22,14,5,2,1,0,0,0,0,0,0,0,0,0
"Websters new explorer guide to English usage",acbk,428,22,2,2,3,2,6,4,3,0,0,0,0,0,0
"What a life High beginning stories of amazing people",bcbk,428.24,22,0,0,0,0,0,0,0,0,0,1,7,11,3
"Accent correction reduction for English speakers whose first language is Arabic",bcvhs,428.1,22,9,7,4,2,0,0,0,0,0,0,0,0,0
"joys of Yinglish an exuberant dictionary of Yiddish words phrases and locutions",acbk,422.43703,22,6,2,3,2,1,7,1,0,0,0,0,0,0
"Spanish vocabulary",acbk,468.2421,22,0,0,0,0,0,0,0,0,0,0,0,0,22
"English Arabic Arabic English concise romanized dictionary for the spoken Arabic of Egypt and Syria",acbk,492.7321,22,8,4,5,2,1,0,1,1,0,0,0,0,0
"SpeakUp Asian Indian Middle Eastern accent elimination program",bccas,428,22,13,4,4,1,0,0,0,0,0,0,0,0,0
"sun played hide and seek a personification story",jcbk,428.1,22,0,0,0,0,0,0,0,0,0,0,0,10,12
"Oxford history of English",acbk,420.9,22,0,0,0,0,0,0,0,8,3,3,5,2,1
"Chinese dictionary of verbs with English explanations Chang yong dong ci ci dian Ying yu zhu shi",acbk,495.18242,22,6,5,1,0,3,2,0,2,3,0,0,0,0
"Italian without toil",acbk,458.3421,22,5,4,7,3,0,3,0,0,0,0,0,0,0
"Breakthrough German",accas,438,22,9,4,7,1,1,0,0,0,0,0,0,0,0
"Houghton Mifflin English",acbk,428.2076,22,11,2,6,3,0,0,0,0,0,0,0,0,0
"Using German a guide to contemporary usage",acbk,438.2421,22,5,3,4,3,2,3,2,0,0,0,0,0,0
"Lado English series",bccas,428,22,10,6,4,2,0,0,0,0,0,0,0,0,0
"Russian motion verbs for intermediate students",acbk,491.78242,22,2,1,2,3,3,2,0,0,1,2,2,3,1
"I can read that a travelers introduction to Chinese characters",acbk,495.18242,21,6,5,6,4,0,0,0,0,0,0,0,0,0
"Dutch reader",acbk,439.3,21,0,1,5,4,4,2,0,0,3,2,0,0,0
"French by association",acbk,448.2421,21,10,3,6,2,0,0,0,0,0,0,0,0,0
"Prentice Hall grammar and composition Grade 6",acbk,428.2,21,7,5,3,5,1,0,0,0,0,0,0,0,0
"pocket Oxford Russian dictionary",acbk,491.7321,21,5,0,5,5,2,0,3,1,0,0,0,0,0
"In English Unit 1",bcvhs,428.24,21,9,7,1,3,1,0,0,0,0,0,0,0,0
"French to go",accdrom,448.2421,21,5,7,9,0,0,0,0,0,0,0,0,0,0
"Muzzy French a video language course",jcvhs,448.3421,21,12,5,2,2,0,0,0,0,0,0,0,0,0
"NTCs dictionary of American slang and colloquial expressions",acbk,427.973,21,3,6,5,1,3,2,0,0,1,0,0,0,0
"Side by side Book 2",bccas,428,21,6,7,6,1,1,0,0,0,0,0,0,0,0
"Oxford Duden pictorial Japanese English dictionary",acbk,495.6321,21,3,6,3,1,2,2,2,0,2,0,0,0,0
"Voyager 4 reading and writing for todays adults",bcbk,428.2,21,0,0,0,0,3,5,5,3,2,1,0,1,1
"GramÃ‚Â tica del estudiante inglÃ¢Â€Âšs",bcbk,425,21,5,3,6,5,0,1,1,0,0,0,0,0,0
"Guide to reading and writing Japanese the 1850 basic characters and the Kana syllabaries Toyo kanji",acbk,495.611,21,7,7,7,0,0,0,0,0,0,0,0,0,0
"Feed me words 40 bite size stories quizzes and puzzles to make spelling and word use fun",jcbk,428.1,21,0,0,0,0,0,0,0,0,0,0,0,5,16
"Future English for results 5",bcbk,428.24,21,0,0,0,0,0,0,0,0,0,0,0,14,7
"Oxford essential spelling dictionary",acbk,421.52,21,4,3,4,5,2,2,1,0,0,0,0,0,0
"15 minute Arabic learn in just 12 weeks",acbk,492.78242,21,0,0,0,0,0,0,0,0,0,0,0,0,18
"Voyager 7 reading and writing for todays adults",bcbk,428.2,21,0,0,0,2,5,5,1,5,0,0,0,2,1
"diccionario Webster VelÃ‚Â zquez de InglÃ¢Â€Âšs sin barreras InglÃ¢Â€Âšs EspaÃ‚Â¤ol",acbk,463.21,21,9,4,2,4,2,0,0,0,0,0,0,0,0
"GramÃ‚Â tica moderna de la lengua espaÃ‚Â¤ola",acbk,468.2421,21,2,6,2,4,3,0,1,0,2,1,0,0,0
"Community spirit a practical guide to collaborative language learning",bcbk,428.34,21,10,2,1,4,3,1,0,0,0,0,0,0,0
"VocabuLearn French Anglais instant vocabulary fast fun effective",accas,448.3421,21,10,5,6,0,0,0,0,0,0,0,0,0,0
"Mastering workplace skills grammar fundamentals",acbk,428.2,21,0,0,0,0,0,0,0,0,0,5,8,8,0
"Han yu chu ji jiao cheng Elementary Chinese course",acbk,495.18242,21,4,6,1,1,0,1,5,1,2,0,0,0,0
"Leaders of the Americas",bcbk,428.64,21,4,3,4,5,2,1,2,0,0,0,0,0,0
"Barrons TOEIC Test of English for International Communication",bcbk,428.0076,21,0,1,3,4,3,4,3,3,0,0,0,0,0
"Fundamentals of English grammar workbook",bcbk,428.4,21,9,5,6,1,0,0,0,0,0,0,0,0,0
"English yes Literacy learning English through literature",bcbk,428.64,21,6,3,1,2,5,2,0,1,1,0,0,0,0
"Kanji kana Kanji to kana a handbook and dictionary of the Japanese writing system",acbk,495.611,21,5,0,3,2,5,2,4,0,0,0,0,0,0
"Ultimate Italian advanced",accas,458.2421,21,2,7,10,2,0,0,0,0,0,0,0,0,0
"vulgar tongue Greens history of slang",acbk,427,21,0,0,0,0,0,0,0,0,11,7,0,2,1
"That doesnt mean what you think it means the 150 most commonly misused words and their tangled histories",acbk,428.1,21,0,0,0,0,0,0,0,0,0,0,0,0,21
"Nihon no yamato kotoba o utsukushiku hanasu kokoro ga tsujiru wa no hyogen",acbk,495.6,21,0,0,0,0,0,0,0,0,0,10,6,3,2
"Mastering Italian",accas,458,21,11,0,7,3,0,0,0,0,0,0,0,0,0
"English for the real world for Chinese speakers",bccas,428,21,16,3,1,1,0,0,0,0,0,0,0,0,0
"Listen say it right in English",accas,428,21,11,10,0,0,0,0,0,0,0,0,0,0,0
"English for beginners Cantonese",blvhs,495.18,21,10,6,2,3,0,0,0,0,0,0,0,0,0
"Spiegel Aktuelle Themen in der Bundesrepublik Deutschland Lesungen ausgewÃ¢Â€Âžhlter Artikel",accas,438,21,6,5,2,5,3,0,0,0,0,0,0,0,0
"Voyager 5 reading and writing for todays adults",bcbk,428.2,21,0,0,0,2,3,4,5,2,1,0,2,0,2
"Descriptionary a thematic dictionary",acbk,423.1,21,2,1,3,4,2,0,1,2,2,1,1,1,1
"Learning to speak English Somali 1",bccas,428.34935,21,12,9,0,0,0,0,0,0,0,0,0,0,0
"Clear speech pronunciation and listening comprehension in North American English",bccas,428.34,21,11,4,6,0,0,0,0,0,0,0,0,0,0
"new Fowlers modern English usage",acbk,423.1,21,2,5,7,4,1,2,0,0,0,0,0,0,0
"history of writing in Japan",acbk,495.61109,21,4,2,2,1,4,3,3,2,0,0,0,0,0
"Viewpoints nonfiction selections",bcbk,428.62,21,2,6,2,2,2,4,0,0,1,1,0,1,0
"Nihonjin ga shiranai Amerika Eigo",acbk,428.34,21,7,5,4,3,1,0,1,0,0,0,0,0,0
"15 minute German learn in just 12 weeks",acbk,438.3421,21,0,0,0,0,0,0,0,0,0,0,0,0,21
"PortuguÃ‹Â†s para principiantes",acbk,469.82421,21,5,4,4,4,2,2,0,0,0,0,0,0,0
"You mei di Zhongguo wen zi",acbk,495.10207,21,3,1,1,0,3,5,0,2,1,0,1,1,2
"new Oxford picture dictionary",acbk,491.7321,21,4,3,0,0,0,2,1,2,2,1,4,1,1
"Word by word basic diccionario ilustrado de InglÃ¢Â€Âšs English Spanish picture dictionary",bcbk,423.61,21,0,0,9,4,5,3,0,0,0,0,0,0,0
"Langwen Ying Han tu pian ci dian Longman English Chinese photo dictionary",acbk,495.13,21,2,3,3,3,2,5,3,0,0,0,0,0,0
"Mastering German Hear it speak it write it read it",acbk,438,20,8,5,7,0,0,0,0,0,0,0,0,0,0
"Loaded words",acbk,422,20,0,0,0,0,0,0,10,3,3,1,2,1,0
"4 practice tests for the TOEFL 2019 2020",acbk,428.0076,20,0,0,0,0,0,0,0,0,0,0,0,0,20
,acbk,495.107,20,4,2,3,1,4,5,1,0,0,0,0,0,0
"Just listen n learn business French",accas,448,20,8,6,5,1,0,0,0,0,0,0,0,0,0
"Collins Shubun English Japanese dictionary Ko rin zu shu bun Ei Wa jiten",acbk,495.6321,20,3,4,4,9,0,0,0,0,0,0,0,0,0
"More than a native speaker an introduction for volunteers teaching English abroad",bcbk,428.007,20,0,0,4,8,4,4,0,0,0,0,0,0,0
"Cracking the language code German",acbk,438.2421,20,0,2,6,7,2,1,2,0,0,0,0,0,0
"languages of Japan",acbk,495.6,20,5,3,2,2,3,2,1,2,0,0,0,0,0
