title,itemtype,deweyClass,Counts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Clear speech from the start basic pronunciation and listening comprehension in North American English",bccd,428.34,435,6,18,39,112,88,60,32,19,14,18,15,8,6
"French for kids Beginner level 1 volume 2",jcdvd,448.2421,435,0,68,138,93,43,28,23,14,11,7,3,7,0
"animales Animals",jcdvd,468.3421,434,0,0,0,57,78,73,51,45,43,39,23,19,6
"Grammar express for self study and classroom use",bcbk,428.24,433,0,0,0,0,69,91,67,71,50,27,30,11,17
"Speak to me interactive English learning system Set 2",bcdvd,428.34,433,0,0,0,81,96,62,57,43,29,25,28,9,3
"Teach me everyday Chinese Volume 1",jcbk,495.18342,432,0,0,0,54,46,72,48,51,54,37,28,28,11
"Heinle picture dictionary",bcbk,423.1,431,6,39,73,63,64,66,29,31,21,14,16,8,1
"Play learn Chinese with Mei Mei 7 Lets visit Dawei Village",jcdvd,495.1824,431,0,0,100,102,63,54,51,33,14,4,7,3,0
"Spanish for kids Beginner level 1 volume 2",jcdvd,468.3421,431,24,127,111,67,38,31,19,10,4,0,0,0,0
"Grammar express basic for self study and classroom use",bcbk,428.24,430,0,0,0,0,70,85,63,77,61,27,24,17,6
"O is for orca a Pacific Northwest alphabet book",jcbk,428.1,430,62,55,70,57,39,56,36,32,21,2,0,0,0
"Beginning Spanish for the utterly confused",acbk,468.2421,430,0,0,0,0,54,90,66,69,67,40,23,15,6
"Just lookn learn Spanish picture dictionary",jcbk,463.21,429,73,53,80,62,47,32,25,24,12,3,9,4,5
"Pimsleur language programs French III A the complete course",accd,448.3421,426,92,61,59,32,39,38,44,43,18,0,0,0,0
"complete idiots guide to learning Spanish",acbk,468.2421,426,0,0,0,73,128,106,65,34,15,5,0,0,0
"101 American English idioms",bcbk,427.973,426,0,0,26,24,16,60,54,62,60,44,31,29,20
"Common American phrases in everyday contexts a detailed guide to real life conversation and small talk",bcbk,423.1,426,0,0,0,0,0,0,38,93,86,61,49,74,25
"Pimsleur language programs German III B the complete course",accd,438.3421,425,50,35,54,33,36,41,29,26,27,37,26,19,12
"Kids love Spanish Volume 3 Family",jcdvd,468.3421,424,0,0,82,79,54,51,40,44,23,24,14,6,7
"French 1 Parlez vous FranÃ¢Â€Â¡ais",acdvd,448.3421,424,0,0,0,59,84,70,66,49,41,28,19,8,0
"Parla Italiano learning Italian the basics",acdvd,458.3421,422,0,0,0,45,69,71,63,41,41,27,25,32,8
"Usborne internet linked first thousand words in Chinese with internet linked pronunciation guide",jcbk,495.1321,420,0,6,41,32,27,41,40,47,53,39,34,44,13
"Pimsleur language programs Chinese Mandarin III B the complete course",accd,495.1,420,50,49,44,33,49,46,43,22,27,24,14,10,8
"Spanish for children course book",jcbk,468.2421,418,0,0,0,0,0,86,78,69,78,55,29,19,4
"Usborne Internet linked first thousand words in French with Internet linked pronunciation guide",jcbk,448.2421,416,8,42,41,41,42,97,67,56,22,0,0,0,0
"Merriam Webster dictionary",acbk,423,414,37,56,36,24,19,9,28,34,23,45,41,30,32
"Idioms for everyday use",bcbk,428.24,413,14,20,77,76,60,49,33,24,27,10,15,6,2
"Pimsleur language programs Chinese Cantonese I B the complete course",accd,495.17342,413,47,41,46,45,42,34,36,38,30,24,18,5,7
"Lyric language French",jcdvd,448.3421,409,83,90,68,48,34,18,14,15,18,7,9,3,2
"InglÃ¢Â€Âšs English for Spanish speakers",bccd,428.3461,407,75,65,72,48,40,23,22,18,17,19,4,4,0
"Spanish English picture dictionary",jcbk,463.21,406,0,0,0,0,0,0,0,23,94,88,90,80,31
"Spanish demystified",acbk,468.2421,403,0,0,0,34,53,39,27,23,22,54,53,64,34
"Watch learn French with Professor Toto Part I Eric goes to school",jcdvd,448.3421,403,0,90,85,91,56,27,13,14,6,7,12,2,0
"Lets play games with Mei Mei",jcdvd,495.1824,401,0,0,82,95,62,49,45,28,15,8,8,5,4
"Lets go to school with Mei Mei",jcdvd,495.1824,401,0,0,75,88,78,52,37,36,18,5,5,4,3
"Muzzy level II French",jcdvd,448.3421,399,67,55,73,55,45,27,27,22,11,7,5,3,2
"Basic vocabulary in use with answers",bcbk,428.1,398,0,0,0,0,85,97,80,61,51,8,9,3,4
"501 Spanish verbs fully conjugated in all the tenses in a new easy to learn format alphabetically arranged",acbk,468.2421,397,24,29,37,61,57,44,31,33,30,23,12,16,0
"Early start Mandarin Chinese Volume 4 My healthy body",jcdvd,495.18342,393,0,0,78,101,63,43,30,30,18,12,7,8,3
"English for new Americans Work and school",bckit,428.34,393,0,54,117,93,66,33,19,4,3,1,0,3,0
"Pimsleur language programs Italian II A the complete course",accd,458.3421,391,64,65,70,56,37,50,30,19,0,0,0,0,0
"Early start Mandarin Chinese Volume 3 A wonderful day",jcdvd,495.18342,391,0,0,76,81,64,36,32,32,23,20,14,10,3
"Usborne Internet linked first thousand words in Japanese with Internet linked pronunciation guide",jcbk,495.6321,391,19,34,39,28,17,48,43,39,34,29,24,28,6
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",jcdvd,438.3421,390,0,0,0,0,73,68,54,55,40,33,36,25,6
"Basic English grammar",bcbk,428.24,390,67,52,53,30,7,8,2,1,11,62,47,29,21
"English grammar in use a self study reference and practice book for intermediate students of English with answers",bcbk,428.24,387,0,0,0,0,0,0,0,0,9,130,96,92,60
"Woe is I the grammarphobes guide to better English in plain English",acbk,428.2,387,38,29,37,48,56,34,39,30,17,22,15,14,8
"complete idiots guide to learning Italian",acbk,458.2421,386,41,28,37,28,25,38,44,36,38,33,17,15,6
"Born to kvetch Yiddish language and culture in all its moods",acbk,439.109,385,129,53,43,45,41,20,10,13,6,8,6,4,7
"Oxford picture dictionary English Spanish",bcbk,463.21,383,0,0,0,0,99,50,65,54,31,27,28,24,5
"Websters New World English grammar handbook",acbk,428.2,382,26,18,9,49,97,72,39,29,24,9,6,4,0
"Teach me everyday French Volume 1",jcbk,448.3421,381,0,0,0,64,70,69,51,45,30,19,19,6,8
"Italian Disc 2 Wake up smiling",jcdvd,458.3421,379,0,0,0,39,83,77,46,35,37,26,14,17,5
"Rock n learn Spanish Volumes I II",jcdvd,468.3421,378,0,87,94,77,45,36,27,12,0,0,0,0,0
"Step into writing a basic writing text",bcbk,428.24,378,0,30,41,65,31,22,18,58,51,21,26,12,3
"101 American English idioms understanding and speaking English like an American",bcbk,427.973,378,0,35,58,79,49,52,28,27,18,11,12,8,1
"Spanish the easy way",acbk,468.2421,378,92,81,80,66,26,16,14,3,0,0,0,0,0
"ESL English as a second language grammar intermediate advanced",bcbk,428.24,376,0,0,0,0,0,0,0,0,0,148,94,84,50
"Pimsleur language programs Russian II A the complete course",accd,491.78242,376,41,34,50,39,41,38,35,22,19,15,18,14,10
"Alphabet explosion search and count from alien to zebra",jcbk,428.13,374,26,70,59,62,37,48,44,23,5,0,0,0,0
"Pimsleur language programs French III B the complete course",accd,448.3421,374,86,58,66,48,49,36,24,7,0,0,0,0,0
